연월,동행지수,선행지수
Sep-09,98.7 ,102.4 
Oct-09,99.2 ,103.1 
Nov-09,99.5 ,103.9 
Dec-09,99.5 ,104.2 
Jan-10,99.5 ,104.3 
Feb-10,99.9 ,103.7 
Mar-10,100.2 ,103.2 
Apr-10,100.5 ,102.8 
May-10,101.0 ,102.9 
Jun-10,101.1 ,102.9 
Jul-10,101.3 ,103.0 
Aug-10,101.1 ,102.6 
Sep-10,100.6 ,102.3 
Oct-10,100.0 ,101.2 
Nov-10,100.0 ,100.8 
Dec-10,100.4 ,100.3 
Jan-11,101.1 ,100.8 
Feb-11,100.9 ,100.7 
Mar-11,101.0 ,100.4 
Apr-11,100.6 ,99.6 
May-11,101.0 ,99.4 
Jun-11,101.2 ,99.4 
Jul-11,101.3 ,99.5 
Aug-11,101.4 ,99.3 
Sep-11,101.0 ,99.0 
Oct-11,101.0 ,98.7 
Nov-11,100.5 ,98.3 
Dec-11,100.5 ,98.1 
Jan-12,100.2 ,98.5 
Feb-12,100.6 ,99.2 
Mar-12,100.5 ,99.2 
Apr-12,100.4 ,99.4 
May-12,100.2 ,99.1 
Jun-12,100.2 ,99.7 
Jul-12,100.5 ,99.8 
Aug-12,100.0 ,99.5 
Sep-12,100.1 ,98.9 
Oct-12,99.6 ,98.8 
Nov-12,99.8 ,99.1 
Dec-12,100.0 ,99.4 
Jan-13,100.0 ,99.2 
Feb-13,100.0 ,99.2 
Mar-13,99.7 ,99.3 
Apr-13,99.9 ,99.5 
May-13,99.8 ,99.7 
Jun-13,100.1 ,100.3 
Jul-13,100.1 ,100.5 
Aug-13,100.3 ,100.7 
Sep-13,100.1 ,100.4 
Oct-13,100.2 ,100.8 
Nov-13,100.2 ,101.1 
Dec-13,100.4 ,101.5 
Jan-14,100.7 ,101.6 
Feb-14,100.6 ,101.5 
Mar-14,100.7 ,101.3 
Apr-14,100.5 ,101.4 
May-14,100.1 ,101.3 
Jun-14,100.0 ,101.5 
